Latitude,Longitude,DepthMeters,Magnitude
37.6488,-81.2447,700,2.3
38.0372,-80.535,1500,3
38.0829,-80.5318,1200,3
38.2843,-81.6398,1500,2.3
44.815,-74.5174,1400,2.3
38.1,-81.9588,1300,2.3
40.3363,-74.8459,500,1.9
37.8299,-82.1722,600,2.4
37.9163,-81.8719,800,2.4
38.2683,-81.5848,11100,2.9
38.0507,-81.6735,4500,2.6
37.1834,-81.7458,700,3
40.4679,-77.9086,9400,1.8
38.0228,-81.4483,600,2.3
37.2325,-81.481,300,2.5
37.7063,-81.9856,1300,2.4
37.8698,-81.2672,1400,2.5
37.9725,-81.5057,1500,2.6
41.076,-74.201,6000,2.2
39.924,-76.264,5000,3.1
44.523,-74.508,1000,3.1
39.974,-76.514,5000,3
38.0115,-81.4669,2700,2.3
37.9668,-82.2182,7800,2
37.8881,-81.2457,9000,2.1
37.7492,-82.0499,5600,2.4
37.76,-82.1337,800,2.3
40.1926,-80.9502,1500,2.5
44.819,-73.19,9000,2.5
40.321,-74.264,5000,3.5
37.4622,-81.6032,300,2.1
39.7674,-79.8218,5800,1.8
37.8812,-81.2831,7600,2.2
40.803,-74.809,13000,2.9
38.421,-82.881,10000,3.6
37.9837,-81.6031,1200,2.7
41.14,-73.69,5000,2.5
37.7536,-82.0312,500,2.4
41.309,-73.928,3000,2.9
40.188,-75.157,5000,3.5
40.155,-75.103,5000,3.7
37.2137,-81.5617,1000,2.3
37.8339,-81.3595,1200,2.3
37.5046,-82.0864,200,2.7
37.3274,-81.9191,700,2.5
37.7357,-82.051,300,2.3
37.9899,-82.1057,300,2.2
37.7587,-81.9953,400,2.8
37.5987,-82.3986,300,2.4
40.3232,-74.8893,200,1.8
37.7331,-82.0193,100,2.2
37.5664,-82.0309,300,2.2
37.234,-81.4919,400,2.3
38.241,-79.09,10000,2.1
43.938,-74.258,12500,5.1
37.5899,-82.3941,2500,2.8
38.0717,-81.3565,200,2.6
40.4339,-78.506,2000,2
37.459,-82.2314,1600,2.2
37.9665,-81.3348,1800,2.3
37.4432,-81.5171,1600,2
38.0444,-81.5405,1800,2.2
37.8015,-82.169,2300,2.1
41.4611,-77.3782,8700,2.6
41.4685,-77.365,7100,2.2
38.0514,-81.524,3200,2.3
44.3247,-73.6186,21400,1.9
37.4835,-82.1554,25700,2.3
37.8608,-81.7804,11100,2.5
40.33,-76.037,5000,4.6
40.321,-76.007,5000,2.9
40.195,-76.226,5000,2.6
40.312,-76.039,5000,2.5
40,-76.2,5000,2.4
37.7342,-82.0472,12200,2.7
